id,created_at,text,likes,retweets,replies,clean_text,sentiment_score,sentiment,risk_level
1909416907901747341,2025-04-08T01:24:00+00:00,@mainbitchclique That’s right tati said Ian finna let her ruin my brand and image😂😂 aire is giving miserable and obsessed like what is it gonna take for her to leave tati alone abt that lean belly dude 😒,0,0,0,thats right tati said ian finna let ruin brand image aire giving miserable obsessed like gonna take leave tati alone abt lean belly dude,-0.7184,Negativo,Bajo
1909416906882179152,2025-04-08T01:24:00+00:00,If she makes out with me several times does that mean she likes me??? I need help guys,0,0,0,makes several times mean likes need help guys,0.6705,Positivo,Bajo
1909416906324398189,2025-04-08T01:24:00+00:00,@elonmusk Based. LinkedIn has NEVER resulted in me getting an interview let alone a job. Just a circle jerk of people thinking they are importsnt. Easily the worst social media platform.,0,0,0,based linkedin never resulted getting interview let alone job circle jerk people thinking importsnt easily worst social media platform,-0.7269,Negativo,Bajo
1909416903128363168,2025-04-08T01:23:59+00:00,ˢʰᵉ ʷᵒⁿ'ᵗ ᵉᵛᵉⁿ ˡᵉᵃᵛᵉ ᵐᵉ ᵃˡᵒⁿᵉ ᵒʳ ᵐʸ ᶠᵃᵐᶦˡʸ ᵃⁿᵈ ᵐʸ ᵀʷᶦᵗᵗᵉʳ ᵒʳ ᵀᵘᵐᵇˡʳ,1,0,0,,0.0,Neutral,Bajo
1909416900758470800,2025-04-08T01:23:59+00:00,"@thatbxteee Hey hun, incase you need help with the assignments I got you",0,0,0,hey hun incase need help assignments got,0.4019,Positivo,Bajo
1909416900398080131,2025-04-08T01:23:58+00:00,My depression. https://t.co/UmO7I2Bf8o,0,0,0,depression,-0.5719,Negativo,Moderado
1909416890289864776,2025-04-08T01:23:56+00:00,"@CristianoR61804 @pulkkochi Coming at Gumayusi fans as if he alone bore the brunt of the game’s outcome is pathetic. If anything, your obsession with discrediting Guma only exposes your own fragile bias and utter lack of critical display. Lmao. Cope accordingly.",0,0,0,coming gumayusi fans alone bore brunt games outcome pathetic anything obsession discrediting guma exposes fragile bias utter lack critical display lmao cope accordingly,-0.8658,Negativo,Bajo
1909416886850191515,2025-04-08T01:23:55+00:00,Leave me alone,0,0,0,leave alone,-0.296,Negativo,Bajo
1909416882064552021,2025-04-08T01:23:54+00:00,@ScaleraThe hello how you doing and I’m here to help anyone that needs to pay bills and rent out of any kind of situation and you can text my phone number if you need the help +1 262-885-4960,0,0,0,hello im help anyone needs pay bills rent kind situation text phone number need help 1 2628854960,0.8271,Positivo,Bajo
1909416880856875393,2025-04-08T01:23:54+00:00,"Crying doesn’t make you weak—it means you’re overwhelmed, and that’s okay. Whatever’s weighing on you right now, I’m here. You can vent, you can sit in silence with me, or you can ask for advice—whatever you need.",0,0,0,crying doesnt make weakit means youre overwhelmed thats okay whatevers weighing right im vent sit silence ask advicewhatever need,-0.25,Negativo,Moderado
1909416879849865719,2025-04-08T01:23:54+00:00,"🚨 ALERT!
If #Zypbit is blocking your withdrawals, you’re not alone—many users are facing the same issue.
Contact me now for expert recovery support!

#sxszl #bitzora #bittrade #linkcryptocoin #ptdefi #timwex #astrocash #dexozer #blofin #CryptoRecovery #CryptoScam #Scam https://t.co/nYdlPaY2BC",0,0,0,alert blocking withdrawals youre alonemany users facing issue contact expert recovery support,0.3182,Positivo,Bajo
1909416874234069323,2025-04-08T01:23:52+00:00,"Can you help me out?  I am trying to  get a free gift.
Hello friends, I need your help to click this link below to get more puppy snacks for my new pet!! 
https://t.co/EvyKZrYnrR",0,0,0,help trying get free gift hello friends need help click link get puppy snacks new pet,0.9287,Positivo,Bajo
